id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
11452,Accidental Presidents,A.J. Baime,,History,October 24th 2017,461 pages,Houghton Mifflin Harcourt,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494386202l/35106890._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=35106890&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
11446,Chasing Rubi ,Marty Wall,,Autobiography,July 1st 2005,231 pages,Literary Press Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1180210363l/1010850._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1010850&ref=x_gr_w_bb_sout&tag=x_gr_w_bb_sout-20,,
11460,Blackout,Sarah Hepola,,Autobiography,June 23rd 2015,230 pages,Grand Central Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423750824l/23341862.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=23341862&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
1533,The Art Of The Deal ,"Donald J. Trump
Tony Schwartz",,Business,December 28th 2004,384 pages,Ballantine Books (first published November 1st 1987),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442705949l/1032._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1032&ref=x_gr_w_bb_sout&tag=x_gr_w_bb_sout-20,,
1896,Big Finish Classics ,"Marc Platt
L. Frank Baum
Nigel Fairs
Rachel Atkins
Ally Doman
Stuart Manning
Scott Handcock",,Fantasy,September 30th 2015,,Big Finish Productions Ltd,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451707614l/28428020._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=28428020&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
2613,The Intelligent Investor ,"Benjamin Graham
Jason Zweig
Warren Buffett",,Economics,February 21st 2006,623 pages,Harper Business (first published 1949),https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409602421l/106835.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=106835&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
1092,Elvis In Vegas ,Richard Zoglin,,Music,July 23rd 2019,304 pages,Simon Schuster,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561903005l/42925890.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=42925890&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
475,"Einstein, His Life and Universe ",Walter Isaacson,,Biography,April 10th 2007,675 pages,Simon Schuster,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328011405l/10884.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=10884&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
2709,Master Persuasion Psychology And Convince People Of Anything,,,,,,,,,,
11532,Star Wars - Han Solo Trilogy Book 3  Rebel Dawn,,,,,,,,,,
