id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
2627,The Little Book That Still Beats the Market ,Joel Greenblatt,,Economics,2010,183 pages,Wiley ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348120206l/8247775.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=8247775&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/8247775-the-little-book-that-still-beats-the-market?from_search=true&from_srp=true&qid=bnDJdiFoMR&rank=1
2615,You Can Be a Stock Market Genius ,Joel Greenblatt,,Economics,1999,285 pages,Touchstone ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441536672l/116184._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=116184&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,13.99,https://www.goodreads.com/book/show/116184.You_Can_Be_a_Stock_Market_Genius?from_search=true&from_srp=true&qid=omRtuz6tXW&rank=1
2617,A Random Walk Down Wall Street ,Burton G. Malkiel,,Economics,2004,464 pages,W. W. Norton Company ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442952924l/900892.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=900892&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/900892.A_Random_Walk_Down_Wall_Street?from_search=true&from_srp=true&qid=KIfvuxdLag&rank=1
2640,Buffettology ,"Mary Buffett
David Clark",,Economics,1999,320 pages,Scribner ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388391483l/1132.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1132&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,13.99,https://www.goodreads.com/book/show/1132.Buffettology?from_search=true&from_srp=true&qid=dgB1xlgxJs&rank=1
2660,A Beginners Guide to The Stock Market ,Matthew R. Kratter,,Economics,2019,79 pages,Trader University,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558590675l/45996732._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=45996732&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,0.00,https://www.goodreads.com/book/show/45996732-a-beginner-s-guide-to-the-stock-market?from_search=true&from_srp=true&qid=n9RduH5RYj&rank=1
2232,Investment Banking for Dummies ,Matthew Krantz,,Business,2014,366 pages,For Dummies ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391307186l/17891495.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=17891495&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.39,https://www.goodreads.com/book/show/17891495-investment-banking-for-dummies?from_search=true&from_srp=true&qid=S48qXr9y92&rank=1
11504,"Design a Better Business, New Tools, Skills, and Mindset for Strategy and Innovation ","Patrick van der Pijl
Justin Lokitz
Lisa Kay Solomon
Erik van der Pluijm
Maarten van Lieshout",,Business,2016,272 pages,Wiley,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1471278428l/29156271._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=29156271&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,18.39,https://www.goodreads.com/book/show/29156271-design-a-better-business?from_search=true&from_srp=true&qid=2NuSShGG2J&rank=1
2648,How to Be a Landlord ,Rob Dix,,Business,,336 pages,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1493193704l/34973575._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=34973575&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,0.00,https://www.goodreads.com/book/show/34973575-how-to-be-a-landlord?from_search=true&from_srp=true&qid=TrvoZnddBd&rank=1
2351,The Crowd - A Study of the Popular Mind ,Gustave Le Bon,,Psychology,2002,160 pages,Dover Publications ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505234324l/573045._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=573045&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,2.99,https://www.goodreads.com/book/show/573045.The_Crowd?from_search=true&from_srp=true&qid=SyRB5AMxob&rank=1
2643,Devil Take the Hindmost ,Edward Chancellor,,Economics,2000,400 pages,Plume Books ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309283479l/91360.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=91360&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/91360.Devil_Take_the_Hindmost?from_search=true&from_srp=true&qid=0LMl4EJGgK&rank=1
2608,"Trading, Investing, Personal Finance, Selling ",William Wyatt,,,,57 pages,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392136500l/20782961.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=20782961&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/20782961-bitcoin?from_search=true&from_srp=true&qid=FwLlMO0z2G&rank=1
2613,The Intelligent Investor ,"Benjamin Graham
Jason Zweig
Warren Buffett",,Economics,2006,623 pages,Harper Business ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409602421l/106835.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=106835&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,17.99,https://www.goodreads.com/book/show/106835.The_Intelligent_Investor?from_search=true&from_srp=true&qid=NwpK3gZSyU&rank=1
1737,Hillbilly Elegy ,J.D. Vance,,Nonfiction,2016,257 pages,Harper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463569814l/27161156.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=27161156&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/27161156-hillbilly-elegy?from_search=true&from_srp=true&qid=j0b9al5Oxh&rank=1
2625,Rich Dad Poor Dad ,"Robert T. Kiyosaki
Sharon Lechter",,Business,2007,195 pages,Time Warner Books UK ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388211242l/69571.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=69571&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,5.12,https://www.goodreads.com/book/show/69571.Rich_Dad_Poor_Dad?from_search=true&from_srp=true&qid=WbURvPSnlP&rank=1
