id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
2447,This is Going to Hurt,Adam Kay,,Nonfiction,September 7th 2017,256 pages,Picador,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495900231l/35235302._SX318_SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=35235302&ref=x_gr_w_bb_sout&tag=x_gr_w_bb_sout-20,,
2001,Grokking Algorithms ,Aditya Y. Bhargava,,Computer Science,2015,256 pages,Manning Publications Co,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458747997l/22847284._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=22847284&ref=x_gr_w_bb_sout&tag=x_gr_w_bb_sout-20,,
2008,The Gulag Archipelago ,"Aleksandr Solzhenitsyn
Edward E. Ericson Jr.",,History,February 1st 2002,472 pages,HarperCollins  ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388293026l/70561.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=70561&ref=x_gr_w_bb_sout&tag=x_gr_w_bb_sout-20,,
2933,Exploitative Play in Live Poker How to Manipulate Your Opponents into Making Mistakes ,Alexander Fitzgerald,,,November 18th 2018,245 pages,D&B Publishing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1542736603l/42876949._SX318_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=42876949&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
2011,Midnight in Mexico ,Alfredo Corchado,,Nonfiction,May 30th 2013,304 pages,Penguin Press,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356076386l/16158595.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=16158595&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
2019,Whistlowers Honesty in America From Washington to Trump,,,,,,,,,,
2647,"The Go-Giver, Expanded Edition A Little Story About a Powerful Business Idea ","Bob Burg
John David Mann",,Business,October 20th 2015,150 pages,Portfolio,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517792270l/38350595._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=38350595&ref=x_gr_w_bb_sout&tag=x_gr_w_bb_sout-20,,
2032,How to Feed a Brain ,"Cavin Balaster
Elisabeth A. Wilson
Datis Kharrazian",,Health,January 4th 2018,218 pages,Feed a Brain LLC,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514646741l/37774244._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=37774244&ref=x_gr_w_bb_sout&tag=x_gr_w_bb_sout-20,,
2811,Post Office ,Charles Bukowski,,Fiction,June 5th 2002,208 pages,Ecco Press  ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424999238l/51504.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=51504&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
2920,Women ,Louisa May Alcott,,Classics,April 6th 2004,449 pages,Signet Classics  ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1934&ref=x_gr_w_bb_glide_sout&tag=x_gr_w_bb_glide_sout-20,,
