id,book_title,book_author,book_narrator,book_genre,book_year,book_length,book_publisher,image_link,amazon_link,amazon_price,goodreads
2649,Happiness:  A Memoir ,Heather Harpham,,Autobiography,2018,320 pages,Picador USA ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1524501274l/37805224.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=37805224&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,11.99,https://www.goodreads.com/book/show/37805224-happiness?from_search=true&from_srp=true&qid=YeVRYBXc9f&rank=1
12385,Dark Money The Hidden History of the Billionaires,Jane Mayer,,Nonfiction,2016,464 pages,Doubleday,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452601408l/27833494.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=27833494&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,13.99,https://www.goodreads.com/book/show/27833494-dark-money?from_search=true&from_srp=true&qid=toT5A61g9C&rank=1
12234,A Warning ,Anonymous,,Nonfiction,2019,259 pages,Twelve,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571775147l/48557815._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=48557815&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,15.99,https://www.goodreads.com/book/show/48557815-a-warning?from_search=true&from_srp=true&qid=CWeJHmbLoY&rank=1
12232,"A Man for All Markets From Las Vegas to Wall Street, How I Beat the Dealer and the Market",Edward O. Thorp,,Economics,2017,416 pages,Random House ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1517415954l/30194505.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=30194505&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,14.99,https://www.goodreads.com/book/show/30194505-a-man-for-all-markets?from_search=true&from_srp=true&qid=t4A1AdZ9D7&rank=1
288,The Peregrine,Ransom Riggs,,Fantasy,2020,279 pages,Dutton Books for Young Readers,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572297878l/41556894._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=41556894&ref=x_gr_w_bb_sin&tag=x_gr_w_bb_sin-20,,https://www.goodreads.com/book/show/41556894-the-conference-of-the-birds?from_search=true&from_srp=true&qid=koS1yX3NZT&rank=1
318,TTC Audio - How Great Science Fiction Works,,,,,,,,,,
442,Collection - Top 25 TTC Audio Lectures,,,,,,,,,,
452,The Logic of Life The Rational Economics of an Irrational World ,Tim Harford,,Economics,2008,213 pages,Random House ,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438525081l/1249095._SY475_.jpg,https://www.goodreads.com/buy_buttons/12/follow?book_id=1249095&ref=x_gr_w_bb_glide_sin&tag=x_gr_w_bb_glide_sin-20,9.99,https://www.goodreads.com/book/show/1249095.The_Logic_of_Life?from_search=true&from_srp=true&qid=SEHARLaN4B&rank=1
468,TTC Audio - Masters of War History's Greatest Strategic Thinkers,,,,,,,,,,
492,TTC Audio - The Art of Conflict - Michael Dues,,,,,,,,,,
